Nº Ordem Compra,Seq.,Cód Serviço,Categoria do Serviço,Complemento da Descrição,Quantidade Pedida,U.M. O.C.,Valor do Rateio,Fornecedor,Fantasia Fornecedor,Projeto,Descr. Projeto,Fase,Descr. Fase,Conta Financeira,Conta Contábil,Usuário Comprador,Setor,Emissão,Consta na base de NF,Lançamentos NF na base (OC+item),Valor Rateio total (OC+item),Valor NF na base (OC+item),Diferença NF - Rateio (OC+item)
33233,1,0322,HOSPEDAGEM SINGLE,HOSPEDAGEM SINGLE,5,SV,875.0,17163232,SAIONARA HOTEL LTDA,30030,CYRELA - COUPÉ TOWER,6,Tirantes,2650,3235,Rafael Moura   Matricula 1205 Geofix,Tirantes,2025-11-04 00:00:00,Não,0,875.0,,
33234,1,0031,LOCACAO DE CILINDROS,LOCAÇÃO DE CILINDRO DE OXIGÊNIO RESERVA,1,UN,90.0,16011238,REPROGAS,30030,CYRELA - COUPÉ TOWER,1,Lama,1348,3232,Rafael Moura   Matricula 1205 Geofix,Lama,2025-11-04 00:00:00,Não,0,90.0,,
33234,2,0005,LOCACAO DE EQUIPAMENTO,LOCAÇÃO DE MAÇARICO COMPLETO,1,LOC,580.0,16011238,REPROGAS,30030,CYRELA - COUPÉ TOWER,1,Lama,2140,3059,Rafael Moura   Matricula 1205 Geofix,Lama,2025-11-04 00:00:00,Não,0,580.0,,
33236,1,0322,HOSPEDAGEM SINGLE,HOSPEDAGEM SINGLE,7,SV,686.0,16015603,HOTEL VITORIA LTDA,30030,CYRELA - COUPÉ TOWER,4,Estaca Escavada,2650,3235,Rafael Moura   Matricula 1205 Geofix,Lama,2025-11-04 00:00:00,Não,0,6664.0,,
33236,2,0322,HOSPEDAGEM SINGLE,HOSPEDAGEM SINGLE,2,SV,196.0,16015603,HOTEL VITORIA LTDA,30030,CYRELA - COUPÉ TOWER,6,Tirantes,2650,3235,Rafael Moura   Matricula 1205 Geofix,Tirantes,2025-11-04 00:00:00,Não,0,6664.0,,
33236,3,0323,HOSPEDAGEM DUPLO,HOSPEDAGEM DUPLO,2,SV,276.0,16015603,HOTEL VITORIA LTDA,30030,CYRELA - COUPÉ TOWER,4,Estaca Escavada,2650,3235,Rafael Moura   Matricula 1205 Geofix,Lama,2025-11-04 00:00:00,Não,0,6900.0,,
33236,4,0322,HOSPEDAGEM SINGLE,HOSPEDAGEM SINGLE,4,SV,392.0,16015603,HOTEL VITORIA LTDA,30030,CYRELA - COUPÉ TOWER,4,Estaca Escavada,2650,3235,Rafael Moura   Matricula 1205 Geofix,Lama,2025-11-04 00:00:00,Não,0,6664.0,,
33236,5,0323,HOSPEDAGEM DUPLO,HOSPEDAGEM DUPLO,2,SV,276.0,16015603,HOTEL VITORIA LTDA,30030,CYRELA - COUPÉ TOWER,4,Estaca Escavada,2650,3235,Rafael Moura   Matricula 1205 Geofix,Lama,2025-11-04 00:00:00,Não,0,6900.0,,
33236,6,0322,HOSPEDAGEM SINGLE,HOSPEDAGEM SINGLE,1,SV,98.0,16015603,HOTEL VITORIA LTDA,30030,CYRELA - COUPÉ TOWER,4,Estaca Escavada,2650,3235,Rafael Moura   Matricula 1205 Geofix,Lama,2025-11-04 00:00:00,Não,0,6664.0,,
33236,7,0323,HOSPEDAGEM DUPLO,HOSPEDAGEM DUPLO,16,SV,2208.0,16015603,HOTEL VITORIA LTDA,30030,CYRELA - COUPÉ TOWER,6,Tirantes,2650,3235,Rafael Moura   Matricula 1205 Geofix,Tirantes,2025-11-04 00:00:00,Não,0,6900.0,,
33236,8,0322,HOSPEDAGEM SINGLE,HOSPEDAGEM SINGLE,16,SV,1568.0,16015603,HOTEL VITORIA LTDA,30030,CYRELA - COUPÉ TOWER,6,Tirantes,2650,3235,Rafael Moura   Matricula 1205 Geofix,Tirantes,2025-11-04 00:00:00,Não,0,6664.0,,
33236,9,0322,HOSPEDAGEM SINGLE,HOSPEDAGEM SINGLE,13,SV,1274.0,16015603,HOTEL VITORIA LTDA,30030,CYRELA - COUPÉ TOWER,4,Estaca Escavada,2650,3235,Rafael Moura   Matricula 1205 Geofix,Lama,2025-11-04 00:00:00,Não,0,6664.0,,
33236,10,0322,HOSPEDAGEM SINGLE,HOSPEDAGEM SINGLE,3,SV,294.0,16015603,HOTEL VITORIA LTDA,30030,CYRELA - COUPÉ TOWER,4,Estaca Escavada,2650,3235,Rafael Moura   Matricula 1205 Geofix,Lama,2025-11-04 00:00:00,Não,0,6664.0,,
33236,11,0322,HOSPEDAGEM SINGLE,HOSPEDAGEM SINGLE,16,SV,1568.0,16015603,HOTEL VITORIA LTDA,30030,CYRELA - COUPÉ TOWER,4,Estaca Escavada,2650,3235,Rafael Moura   Matricula 1205 Geofix,Lama,2025-11-04 00:00:00,Não,0,6664.0,,
33236,12,0323,HOSPEDAGEM DUPLO,HOSPEDAGEM DUPLO,13,SV,1794.0,16015603,HOTEL VITORIA LTDA,30030,CYRELA - COUPÉ TOWER,4,Estaca Escavada,2650,3235,Rafael Moura   Matricula 1205 Geofix,Lama,2025-11-04 00:00:00,Não,0,6900.0,,
33236,13,0322,HOSPEDAGEM SINGLE,HOSPEDAGEM SINGLE,2,SV,196.0,16015603,HOTEL VITORIA LTDA,30030,CYRELA - COUPÉ TOWER,4,Estaca Escavada,2650,3235,Rafael Moura   Matricula 1205 Geofix,Lama,2025-11-04 00:00:00,Não,0,6664.0,,
33236,14,0323,HOSPEDAGEM DUPLO,HOSPEDAGEM DUPLO,1,SV,138.0,16015603,HOTEL VITORIA LTDA,30030,CYRELA - COUPÉ TOWER,4,Estaca Escavada,2650,3235,Rafael Moura   Matricula 1205 Geofix,Lama,2025-11-04 00:00:00,Não,0,6900.0,,
33236,15,0323,HOSPEDAGEM DUPLO,HOSPEDAGEM DUPLO,16,SV,2208.0,16015603,HOTEL VITORIA LTDA,30030,CYRELA - COUPÉ TOWER,4,Estaca Escavada,2650,3235,Rafael Moura   Matricula 1205 Geofix,Lama,2025-11-04 00:00:00,Não,0,6900.0,,
